full_name,email_address,phone_number,state_name,zip_code,signup_date,purchase_amount,age_years,status,customer_city,company_name,subscribed,junk_notes,mostly_empty,empty_col,row_id
victor anderson,,+1 (555) 669-4673,pa,82423-1434,2024-02-03,,,inactive,newark,unk​nown,no,temp,,,385.0
zoe garcia,zoe.garcia5@demo.org,+1 (555) 109-6532,district of columbia,84301,2023-03-20,"6,238",59,n/a,rockville,acme co,1,old import,,,176.0
emma ​taylor,emma.taylor61@mail.com,+1 (555) 508-3211,dc,28137,04/27/2025,$769.00,49,inactive,harrisburg,acme co,1,delete me,,,494.0
yara smith,yara.smith51@example.com,+1 (555) 390-3371,de,92225,2025/02/09,,75,active,washington,,yes,delete me,,,12.0
liam jackson,,+1 (555) 335-8209,de,41281,01/27/2023,349,19,active,washington,north​ star,y,,,,140.0
yara j​ohnson,,+1 (555) 862-8694,md,17051,2025-04-22,,,active,richmond,bright labs,,delete me,,,251.0
peter williams,peter.williams68@sample.net,+1 (555) 355-9085,va,19581-2623,"apr 26, 2024",,73,n/a,richmond,cedar works,yes,,,,237.0
,,+1 (555) 282-2639,va,32704,12-17-2023,$215.00,72,pending,washington,none,,,,,103.0
quinn johnson,quinn.johnson28@demo.org,+1 (555) 783-1656,dc,85355,06/13/2024,,,active,columbia,none,false,,,,328.0
peter wilson,peter.wilson75@sample.net,+1 (555) 168-6701,va,67658,11/24/2024,$350.00,,,towson,cedar works,yes,,,,53.0
liam smith,liam.smith39@sample.net,+1 (555) 992-1699,district of columbia,90136,01/09/2024,134,59,unknown,baltimore,north star,no,,,,214.0
,olivia.wilson68@mail.com,,maryland,5917,06/05/2023,"3,011",,,rockville,cedar works,yes,temp,,,208.0
tina davis,tina.davis8@example.com,+1 (555) 966-6709,maryland,31356,05-06-2025,,,inactive,baltimore,unknown,1,,,,101.0
peter anderson,peter.anderson88@mail.com,+1 (555) 486-3387,dc,57128,12-27-2023,,,inactive,newark,bright labs,no,,,,264.0
alice taylor,,+1 (555) 930-8565,md,6399,2023/06/01,"3,816",26,inactive,baltimore,bright labs,no,,,,87.0
alice garcia,alice.garcia54@mail.com,+1 (555) 348-7555,md,6551,06/14/2024,920,unknown,active,towson,,yes,,,,35.0
yara garcia,yara.garcia41@sample.net,+1 (555) 631-2468,pennsylvania,11786,"sep 17, 2024","3,707",43,pending,harrisburg,none,no,delete me,,,102.0
bob rodriguez,bob.rodriguez56@demo.org,+1 (555) 204-9608,district of columbia,65640,2023-08-05,81,unknown,,baltimore,unk​nown,yes,old import,,,407.0
peter martinez,peter.martinez22@example.com,+1 (555) 477-5072,md,4416,07-18-2024,,,active,annapolis,,y,,,,319.0
henry moore,henry.moore59@sample.net,+1 (555) 284-1232,dc,38941,05/08/2025,154,24,active,baltimore,brigh​t labs,yes,,,,83.0
zoe smith,zoe.smith56@sample.net,+1 (555) 667-6409,maryland,2011,05/18/2025,$470.00,unknown,active,richmond,blue ​rocket,1,,,,81.0
yara jackson,yara.jackson39@example.com,+1 (555) 441-6738,pa,33443-5886,2025/01/11,$102.00,unknown,active,towson,bright labs,yes,delete me,,,85.0
mia williams,mia.williams91@example.com,+1 (555) 295-5651,dc,35274,"oct 27, 2024",,,,richmond,,yes,temp,?,,472.0
noah miller,noah.miller61@sample.net,+1 (555) 716-6895,dc,81898-7762,2024-12-29,$319.00,64,pending,richmond,cedar works,true,,,,93.0
yara garcia,,+1 (555) 836-1267,virginia,88633,2023-05-01,"3,507",,pending,newark,acme co,yes,,,,365.0
bob jones,bob.jones93@demo.org,+1 (555) 812-2516,dc,49052-4839,10/20/2024,"9,056",52,n/a,washington,none,n,delete me,,,356.0
isla williams,isla.williams90@sample.net,+1 (555) 430-9819,dc,17185,,,63,inactive,annapolis,n/a,no,,,,381.0
henry thomas,henry.thomas74@mail.com,+1 (555) 877-3412,pa,28234,08/17/2023,77,,,columbia,north​ star,yes,old import,,,364.0
victor williams,victor.williams76@sample.net,+1 (555) 239-9140,va,70286,11-01-2024,"6,093",24,,richmond,,y,temp,,,302.0
victor wilson,victor.wilson11@demo.org,+1 (555) 209-3421,pa,92202,2024/02/10,701,,,harrisburg,,true,delete me,,,242.0
isla brown,isla.brown37@example.com,+1 (555) 349-8629,pa,93311-7366,"feb 17, 2023",$526.00,,active,harrisburg,unknown,no,delete me,,,426.0
frank moore,frank.moore91@example.com,+1 (555) 817-3604,md,29661,2025/05/28,,,pending,annapolis,unknown,y,temp,,,244.0
frank miller,,+1 (555) 574-5505,de,34991-9704,"jan 22, 2023",,47,active,rockville,bright labs,yes,temp,,,389.0
uma rodriguez,uma.rodriguez35@mail.com,+1 (555) 789-8096,pennsylvania,24297,10-26-2023,,59,,harrisburg,,yes,delete me,,,171.0
yara ​moore,,+1 (555) 909-1018,virginia,51465,2023-09-10,988,unknown,active,rockville,bright labs,no,temp,,,18.0
quinn smith,quinn.smith4@demo.org,+1 (555) 876-4197,de,36203,,,,pending,columbia,blue rocket,yes,temp,,,5.0
isla thomas,isla.thomas95@sample.net,+1 (555) 886-3062,de,12423,2025-02-03,,unknown,active,washington,north star,no,,,,282.0
uma martinez,uma.martinez8@example.com,+1 (555) 559-6134,district of columbia,87570,09/22/2023,"2,594",unknown,pending,towson,bright labs,no,old import,,,414.0
,,+1 (555) 654-6297,virginia,64857,2025/04/16,"5,055",19,,columbia,blue rocket,no,old import,,,419.0
mia jackson,mia.jackson72@mail.com,+1 (555) 688-4037,md,45414,,882,30,active,richmond,unk​nown,0,delete me,,,348.0
peter jones,peter.jones18@sample.net,+1 (555) 550-8135,,41287,2023/05/17,"3,368",60,unknown,annapolis,,yes,delete me,,,313.0
david wilson,david.wilson89@example.com,+1 (555) 447-8491,va,49616-4726,2024/08/14,604,52,active,washington,,yes,temp,,,185.0
sam garcia,sam.garcia24@demo.org,+1 (555) 754-8813,va,84095,2024/01/07,,unknown,active,baltimore,cedar works,yes,temp,,,122.0
grace smith,grace.smith6@example.com,,dc,36928,"apr 25, 2023",306,50,inactive,washington,acme co,y,temp,,,458.0
ruby anderson,ruby.anderson56@example.com,+1 (555) 157-1248,dc,83538,10/08/2024,"8,877",43,n/a,washington,blue ​rocket,0,,,,177.0
will thomas,,+1 (555) 694-6883,dc,90967,02-10-2025,940,60,active,annapolis,bright labs,yes,delete me,,,196.0
henry thomas,henry.thomas30@demo.org,+1 (555) 987-5945,virginia,15081,05-15-2024,,,inactive,towson,​,true,delete me,,,320.0
will johnson,will.johnson95@sample.net,+1 (555) 872-1131,virginia,9236,01-14-2023,,,pending,baltimore,unknown,,,,,330.0
isla wilson,isla.wilson63@mail.com,+1 (555) 204-6481,pennsylvania,93273-1553,01/26/2023,,unknown,pending,baltimore,cedar works,0,old import,,,298.0
victor johnson,,+1 (555) 190-4249,maryland,51963,03-27-2023,,,active,towson,cedar works,n,,,,111.0
peter davis,peter.davis10@mail.com,+1 (555) 129-5773,de,82946-7417,,$554.00,51,inactive,rockville,,no,temp,,,432.0
jack williams,jack.williams73@sample.net,+1 (555) 777-3327,de,37493,2024-02-05,485,,,annapolis,bright labs,yes,delete me,,,187.0
,emma.jackson64@demo.org,+1 (555) 129-6207,pennsylvania,58427,10/11/2024,$986.00,,inactive,annapolis,,no,old import,,,128.0
will jones,will.jones16@sample.net,+1 (555) 461-7400,va,10886,2023/07/08,,55,active,columbia,unknown,n,,x,,54.0
frank martinez,frank.martinez87@example.com,+1 (555) 126-1418,de,16886-8570,"nov 15, 2023",,,inactive,newark,blue ​rocket,n,old import,,,117.0
katie moore,katie.moore66@example.com,+1 (555) 623-1985,virginia,89995,06/18/2023,707,67,,annapolis,unknown,no,,,,493.0
quinn williams,,+1 (555) 497-5741,de,73527,08/28/2024,,unknown,active,towson,nort​h star,false,old import,,,474.0
sam smith,sam.smith45@sample.net,+1 (555) 520-3491,md,68472,2024-09-05,,unknown,pending,baltimore,,yes,,,,358.0
henry thomas,henry.thomas35@example.com,+1 (555) 583-1918,md,69399-6227,02-27-2025,,19,,harrisburg,,1,,,,332.0
jack ​garcia,,+1 (555) 471-6790,dc,38439-7507,03-24-2023,,,active,columbia,,true,temp,,,413.0
liam wilson,liam.wilson24@mail.com,+1 (555) 289-9645,md,49487,04/07/2025,,,active,annapolis,acme co,0,delete me,,,270.0
quinn martinez,quinn.martinez53@demo.org,+1 (555) 345-8935,virginia,20491-4942,2025/04/25,"6,125",55,n/a,harrisburg,acme co,1,,,,336.0
yara jackson,yara.jackson66@mail.com,+1 (555) 760-3495,de,15458,"nov 25, 2024",,59,unknown,richmond,,y,,,,121.0
jack garcia,jack.garcia14@mail.com,+1 (555) 283-3069,md,15113-3760,2023-06-15,$207.00,unknown,pending,rockville,,true,,,,123.0
alice brown,alice.brown12@sample.net,+1 (555) 349-4349,maryland,26546,"dec 02, 2024",,43,unknown,annapolis,unknown,false,,,,98.0
yara jackson,yara.jackson73@sample.net,+1 (555) 861-2755,district of columbia,89254,2025/03/24,224,unknown,,towson,n​/a,yes,temp,,,232.0
frank rodriguez,frank.rodriguez42@mail.com,+1 (555) 978-8341,md,45525,,,,inactive,richmond,bright labs,,temp,,,227.0
alice williams,alice.williams89@demo.org,+1 (555) 501-8243,pa,37877,01-03-2025,,32,pending,towson,cedar works,false,temp,x,,8.0
victor miller,victor.miller84@example.com,+1 (555) 505-9378,dc,77703-3867,2023-06-10,517,,pending,harrisburg,unknown,,temp,,,124.0
yara johnson,yara.johnson81@demo.org,+1 (555) 843-8216,de,23918,05-13-2024,$809.00,,active,harrisburg,acme co,n,,,,399.0
uma rodriguez,,+1 (555) 732-8449,pa,31701,03/25/2024,"4,791",,active,newark,bright labs,0,delete me,,,96.0
tina davis,tina.davis59@demo.org,+1 (555) 174-2934,dc,74089,03-19-2025,,unknown,active,towson,unknown,yes,,,,2.0
uma garcia,uma.garcia71@sample.net,+1 (555) 417-4951,district of columbia,40964-7513,2023-02-25,,unknown,,baltimore,unknown,y,delete me,,,277.0
bob rodriguez,bob.rodriguez93@sample.net,+1 (555) 730-8368,delaware,5562,,,,inactive,washington,blue ​rocket,yes,,,,342.0
tina brown,tina.brown10@mail.com,+1 (555) 133-5368,dc,18260,2024/02/10,787,33,inactive,richmond,,yes,temp,,,57.0
liam johnson,,+1 (555) 503-2475,maryland,76315,,,,inactive,columbia,,y,,,,221.0
david johnson,david.johnson21@example.com,+1 (555) 626-9084,de,,12/16/2024,$543.00,62,active,washington,bright labs,no,delete me,,,495.0
xavier williams,xavier.williams92@demo.org,+1 (555) 624-2795,va,49538,"may 16, 2024",,31,inactive,washington,unknown,true,temp,,,253.0
grace brown,grace.brown27@mail.com,,district of columbia,29777-1420,2025/03/03,,48,pending,baltimore,unknown,true,,,,397.0
mia taylor,,+1 (555) 656-7200,de,67439-2758,06-05-2023,"4,148",,n/a,rockville,bright labs,no,temp,,,252.0
carol moore,carol.moore42@sample.net,+1 (555) 845-8825,de,25036,2024/05/20,751,77,active,baltimore,acme co,false,old import,,,408.0
carol anderson,carol.anderson72@mail.com,+1 (555) 642-5488,va,95899,2024-02-15,964,50,,columbia,cedar works,y,,,,73.0
henry w​illiams,henry.williams33@example.com,+1 (555) 990-2538,pennsylvania,74696,2023/05/21,,unknown,active,columbia,unknown,yes,,,,50.0
katie moore,katie.moore71@demo.org,,virginia,64507,2025-03-11,,35,active,harrisburg,unknown,n,old import,,,378.0
isla jackson,isla.jackson44@sample.net,+1 (555) 164-6223,va,33025-2702,2023-07-23,"6,015",73,pending,washington,north star,no,old import,,,317.0
katie miller,katie.miller65@demo.org,+1 (555) 745-7277,virginia,64568,"aug 26, 2023",$847.00,34,,harrisburg,acme co,,delete me,,,127.0
olivia johnson,olivia.johnson1@sample.net,+1 (555) 846-4362,virginia,60142-5707,09/23/2024,"3,339",,,washington,unknown,0,temp,,,13.0
uma garcia,uma.garcia88@sample.net,+1 (555) 684-7850,delaware,81139,"jan 18, 2025",43,70,pending,annapolis,unknown,no,delete me,,,159.0
quinn williams,,+1 (555) 194-4011,va,56742-1946,"jan 25, 2025",,,pending,annapolis,n​/a,1,temp,,,118.0
grace taylor,grace.taylor85@demo.org,+1 (555) 705-4411,md,9579,08-26-2023,$957.00,56,active,annapolis,cedar works,false,delete me,,,396.0
tina rodriguez,,+1 (555) 697-9952,virginia,34978-1376,2023/05/20,,,,washington,,yes,,,,374.0
zoe wi​lliams,zoe.williams16@sample.net,+1 (555) 684-7582,dc,58301,2023/07/07,"4,480",,n/a,harrisburg,cedar works,no,,,,263.0
alice garcia,alice.garcia27@sample.net,+1 (555) 220-2211,district of columbia,70110-4008,"apr 04, 2024",$733.00,,pending,columbia,north star,no,delete me,,,314.0
carol rodriguez,carol.rodriguez94@sample.net,+1 (555) 915-8952,dc,36932-5568,2025/03/05,,,pending,columbia,unknown,y,,,,339.0
liam thomas,liam.thomas7@example.com,+1 (555) 904-5178,delaware,9578,2023/12/16,"7,246",66,active,richmond,,no,,,,361.0
jack miller,,+1 (555) 324-8697,virginia,81069,03-18-2023,693,,n/a,washington,no​ne,no,old import,,,442.0
noah ​moore,,+1 (555) 118-2107,district of columbia,7871,2025-04-08,815,,unknown,harrisburg,none,1,temp,,,183.0
noah rodriguez,noah.rodriguez24@example.com,+1 (555) 642-9270,de,40162,02-16-2023,443,51,inactive,washington,cedar works,yes,,,,271.0
xavier ​martinez,xavier.martinez78@example.com,+1 (555) 627-5382,delaware,30450,08/24/2024,"4,742",,pending,washington,bright labs,false,,,,170.0
emma miller,emma.miller92@mail.com,+1 (555) 777-4007,va,89243,03/01/2023,207,25,unknown,newark,bright labs,y,,,,430.0
jack anderson,jack.anderson87@example.com,+1 (555) 867-8518,virginia,45580-9322,02/06/2024,$608.00,,active,baltimore,bright labs,true,old import,x,,91.0
jack taylor,jack.taylor76@example.com,+1 (555) 490-7993,md,17983-3165,2023-07-11,,,active,washington,blue rocket,no,temp,,,220.0
uma miller,uma.miller76@sample.net,+1 (555) 641-9327,de,76768,,"7,122",,pending,towson,none,no,,?,,215.0
liam wilson,liam.wilson30@sample.net,+1 (555) 786-6005,virginia,34382,12/30/2024,,44,pending,baltimore,,y,temp,,,135.0
frank williams,frank.williams85@demo.org,+1 (555) 989-2109,md,43756,01/21/2023,,,unknown,rockville,unknown,yes,temp,,,71.0
emma moore,emma.moore22@sample.net,+1 (555) 550-2033,maryland,7633,"may 10, 2023",,32,active,annapolis,unknown,1,temp,,,147.0
zoe rodriguez,zoe.rodriguez28@demo.org,+1 (555) 557-8993,pa,21819,"apr 11, 2023",204,70,,annapolis,bright labs,no,old import,x,,299.0
liam johnson,liam.johnson66@sample.net,+1 (555) 463-4077,pennsylvania,8813,07/12/2023,$654.00,,inactive,richmond,,true,,,,236.0
alice jackson,alice.jackson49@mail.com,+1 (555) 780-4657,pennsylvania,72033,2023-05-26,,51,pending,newark,​,no,temp,,,78.0
mia garcia,mia.garcia44@sample.net,+1 (555) 899-4866,md,55512,"dec 24, 2024",$499.00,unknown,active,washington,blue rocket,,,,,62.0
alice jackson,alice.jackson49@demo.org,+1 (555) 703-2251,dc,1632,10/12/2024,,,pending,newark,acme co,yes,,,,15.0
uma rodriguez,uma.rodriguez46@demo.org,+1 (555) 184-6531,district of columbia,24269,2024-11-03,"4,727",,pending,richmond,bright labs,true,temp,,,97.0
carol williams,carol.williams86@example.com,+1 (555) 793-2540,district of columbia,23292-5489,02-19-2025,$510.00,18,active,washington,blue rocket,yes,old import,,,100.0
uma thomas,uma.thomas1@sample.net,,va,34115-9784,2024-11-12,,,active,annapolis,blue rocket,y,,,,268.0
uma brown,uma.brown75@example.com,+1 (555) 803-7138,virginia,88306,10/16/2023,,unknown,unknown,annapolis,cedar works,yes,old import,,,434.0
noah thomas,noah.thomas62@sample.net,+1 (555) 100-8525,dc,33260-2065,12-06-2024,140,62,active,richmond,north star,no,delete me,,,455.0
carol martinez,carol.martinez95@mail.com,,md,26863,07/18/2023,415,unknown,pending,newark,,yes,,,,321.0
katie smith,,+1 (555) 373-1142,maryland,74896,2024-04-01,$843.00,37,pending,towson,,yes,delete me,,,210.0
emma smith,emma.smith40@sample.net,+1 (555) 226-5545,dc,31505-4173,10-26-2024,$845.00,unknown,n/a,richmond,unknown,1,old import,,,269.0
quinn miller,quinn.miller17@example.com,+1 (555) 287-4145,va,23403,,"7,314",,n/a,newark,,0,temp,,,335.0
noah williams,noah.williams29@example.com,+1 (555) 948-8897,dc,81260,"sep 19, 2024",,76,,rockville,cedar works,n,,,,296.0
david martinez,,+1 (555) 407-1247,delaware,45383,12/18/2023,520,,active,newark,,no,temp,,,228.0
liam jones,liam.jones82@example.com,+1 (555) 810-3940,va,46504-3310,"feb 13, 2023",919,62,pending,rockville,north star,1,delete me,,,372.0
tina smith,tina.smith73@mail.com,+1 (555) 781-3098,virginia,49851,"feb 01, 2025",724,unknown,,baltimore,blue rocket,no,,,,184.0
yara brown,yara.brown99@mail.com,+1 (555) 323-1713,va,52466-6696,2023/05/07,,30,pending,rockville,none,false,,,,424.0
david ​miller,david.miller46@mail.com,+1 (555) 296-3378,dc,42148,2023-03-21,,unknown,,rockville,acme co,,,,,281.0
bob jones,,+1 (555) 412-4309,va,70846,12/16/2023,472,64,,columbia,acme co,yes,,,,82.0
bob wilson,bob.wilson21@demo.org,+1 (555) 178-2765,maryland,45810,03/21/2023,$820.00,60,inactive,harrisburg,cedar works,,old import,,,322.0
