full_name,email_address,phone_number,state_name,zip_code,signup_date,purchase_amount,age_years,status,customer_city,company_name,subscribed,junk_notes,mostly_empty,empty_col,row_id
  alice thomas  , ALICE.THOMAS83@SAMPLE.NET ,,Maryland,77013-7237,07/05/2024,N/A,unknown,unknown,washington,  Acme Co ,0,,,,310
uma rodriguez,uma.rodriguez60@sample.net,555-794-8322,MD,21065,"Aug 06, 2023", $134.00 , 57 ,PENDING, RICHMOND ,  North Star ,No,,,,452
  Grace Rodriguez  ,grace.rodriguez17@sample.net,555.879.8422,dc,8981,"Aug 10, 2024",N/A,unknown,unknown,newark,Unknown,Y,delete me,,,431
  liam rodriguez  ,liam.rodriguez99@sample.net,(555) 193-5704,VA,17073-9041,12/12/2024,N/A, 54 ,INACTIVE,RICHMOND,BRIGHT LABS,no,temp,,,32
  Uma J​ackson  ,,555.626.2242,PA,55083,03/30/2023,N/A,unknown,active,WASHINGTON,none,Y,old import,,,293
tina garcia, TINA.GARCIA79@MAIL.COM ,555-766-2572,Maryland, 94149 ,"Feb 06, 2024",N/A,,PENDING, WASHINGTON ,NORTH STAR,,old import,,,149
FRANK MARTINEZ,frank.martinez98@sample.net,,dc,74191,2025/04/20,N/A,,INACTIVE,baltimore,   ,TRUE,delete me,,,359
  zoe an​derson  ,,5551433844,Delaware,25558,02-09-2024, $431.00 ,unknown,inactive, Rockville ,N/A,N,delete me,,,400
Peter Miller,peter.miller86@example.com,(555) 603-1760,Maryland,48546,03/06/2025,110,unknown, n/a ,WASHINGTON,North Star,No,delete me,,,125
ruby thomas,ruby.thomas85@sample.net, 555 477 6838 ,Maryland,45229,2025/04/11,"8,288", 75 ,unknown,ANNAPOLIS,none,Yes,old import,,,213
alice taylor, ALICE.TAYLOR77@MAIL.COM ,555-276-8411,Maryland,56372,2024-05-25,"1,327", 35 ,ACTIVE, Rockville ,  BRIGHT LABS ,Y,,,,235
  Alice Jones  ,alice.jones99@mail.com,5552689966,md,95986,"Jun 29, 2024",N/A,43,ACTIVE,COLUMBIA,  BLUE ROCKET ,0,delete me,,,291
  frank garcia  ,frank.garcia37@sample.net,,md,46556-4702,"Jun 20, 2024","1,915",,pending,newark,none,yes,,,,346
,frank.davis22@sample.net,(555) 876-1437,Delaware,32836,"Feb 11, 2024",,,INACTIVE,Newark,Blue Rocket,Yes,,,,395
  yara wilson  , YARA.WILSON22@DEMO.ORG ,,District of Columbia,52015,2023/02/05, $357.00 ,,,Columbia,Unknown,0,delete me,,,306
,,,,,,,,,,,,,,,
carol davis,carol.davis16@sample.net,555.847.5506,,39076,2025-01-03, $907.00 ,unknown,inactive,Richmond,N/A,No,,,,283
Henry Moore,henry.moore52@mail.com,555-194-4365,District of Columbia,28817-5450,11/28/2023,,,ACTIVE,Harrisburg,none,Yes,old import,,,207
zoe davis,zoe.davis67@mail.com,1-555-779-3391,dc,28981,2024/12/23,"8,786",58,INACTIVE,rockville,  BRIGHT LABS ,yes,delete me,,,219
  Tina Wilson  ,tina.wilson47@mail.com,555-837-6898,District of Columbia,79677,2025-03-06,"5,468",,active,HARRISBURG,Unknown,,,,,231
isla brown, ISLA.BROWN12@DEMO.ORG ,555-250-4152,va,85618,2023-12-19,, 53 , n/a ,Newark,none,Yes,delete me,,,492
Will ​Moore,,555.921.4759,Virginia,65691,11-27-2024,"1,758",unknown,INACTIVE,ANNAPOLIS,   ,Y,,,,386
  sam thomas  ,sam.thomas54@example.com, 555 173 9722 ,Maryland,20222,08/30/2023,"9,828",, n/a ,BALTIMORE,Unk​nown,,,,,179
David Wilson,david.wilson32@example.com,555-893-8635,dc, 71406 ,2023-03-23,N/A,44,unknown,harrisburg,N/A,no,delete me,,,500
victor wilson,victor.wilson48@sample.net,555-383-7359,dc,87021,2024/03/01, $281.00 ,19,PENDING,ROCKVILLE,ACME CO,TRUE,temp,,,369
JACK JONES, JACK.JONES42@DEMO.ORG ,,md,66212,09/06/2023,, 60 ,Active,Newark,BLUE ROCKET,1,delete me,,,415
frank jones,,(555) 907-3170,District of Columbia,75610-5630,"Jan 30, 2025",,,ACTIVE,WASHINGTON,Blue Rocket,0,old import,,,94
mia jackson,mia.jackson21@sample.net,555-404-7274,MD,72224-6257,2024-02-17,"6,403",unknown,INACTIVE,ROCKVILLE,ACME CO,Yes,temp,,,92
HENRY WILSON,,1-555-133-1648,Maryland,48554,2023/08/12,N/A,52,inactive,NEWARK,NORTH STAR,Y,delete me,,,95
YARA THOMAS,,555-436-1572,,80334,10/25/2023,N/A,,PENDING,harrisburg,   ,TRUE,,,,353
liam ro​driguez,, 555 405 4415 ,VA,85107,2025-06-05,N/A,, n/a ,harrisburg,   ,no,,,,161
Quinn Jones,quinn.jones13@mail.com,5553048279,Delaware,80504,08/31/2024,"3,663",unknown,ACTIVE,WASHINGTON,Unknown,,temp,,,143
Victor Garcia, VICTOR.GARCIA57@SAMPLE.NET , 555 320 2123 ,Delaware,90817-1128,2023/09/13, $740.00 , 39 ,,NEWARK,Unknown,N,delete me,,,169
,grace.smith77@demo.org,(555) 875-2681,Maryland,57096-7281,01-05-2023,, 67 ,pending, Rockville ,Unknown,Y,old import,,,375
Tina Rodriguez,tina.rodriguez93@sample.net,555.455.3604,,20137,2024-09-14,583,,inactive, Washington ,N​/A,false,delete me,,,241
carol brown,,(555) 681-6715,District of Columbia,98183,2023-08-28,,unknown,, Newark ,none,false,,,,222
bob anderson,bob.anderson88@mail.com, 555 226 4038 ,Maryland,2941,2023-03-15, $660.00 ,unknown,active, BALTIMORE ,BRIGHT LABS,N,,,,465
  Jack Rodriguez  ,jack.rodriguez54@demo.org,,de,42196,09-30-2023,"1,572", 68 ,ACTIVE,Newark,none,No,,,,490
frank taylor,frank.taylor75@sample.net, 555 120 3357 ,, 38992 ,,666,unknown, n/a ,Annapolis,BRIGHT LABS,,temp,,,461
Alice Taylor,alice.taylor97@example.com,(555) 969-1357,DE, 72032 ,2025/04/25,880, 27 ,,washington,  BRIGHT LABS ,,delete me,,,17
frank rodriguez,frank.rodriguez44@example.com,(555) 672-1741,Maryland,30145,02-02-2023, $982.00 ,,pending,HARRISBURG,  Cedar Works ,,temp,,,383
  OLIVIA TAYLOR  ,olivia.taylor58@demo.org,5553367414,MD,39276,"Jul 08, 2023",346,71,unknown, Washington ,none,no,old import,,,84
  henry martinez  ,henry.martinez13@mail.com,555.267.1015,Delaware,1842,2023/11/07,, 66 , n/a ,Rockville,  Cedar Works ,Yes,temp,,,155
sam davis,sam.davis98@example.com, 555 150 4094 ,PA,,05-05-2023,"6,559",67,inactive,TOWSON,  North Star ,no,,,,404
UMA TAYLOR,uma.taylor59@example.com,555-925-6307,de,15687-7256,"Jul 11, 2023", $958.00 ,,,ANNAPOLIS,none,No,temp,,,172
alice miller,, 555 106 5099 ,Delaware,6884,"Jun 13, 2025", $694.00 , 25 ,, newark ,   ,TRUE,temp,,,453
alice jackson, ALICE.JACKSON39@SAMPLE.NET ,1-555-278-4977,,87446,2025-06-19,"3,409",73,INACTIVE,NEWARK,BRIGHT LABS,N,temp,,,290
YARA WILSON,yara.wilson1@sample.net,555.679.1477,VA,86059,2024-06-30,"1,151",63,inactive,RICHMOND,ACME CO,yes,temp,,,154
alice johnson,alice.johnson93@demo.org,555.673.9135,dc,,03/08/2024,"1,247",33, n/a , Columbia ,Bright Labs,0,,,,130
  BOB ANDERSON  ,bob.anderson92@mail.com,555-621-8015,District of Columbia,15429,12-14-2023, $885.00 ,47,INACTIVE,HARRISBURG,  Blue Rocket ,0,old import,,,338
  peter ​miller  , PETER.MILLER62@EXAMPLE.COM ,555-253-6763,va,10684-4377,"Aug 19, 2023",N/A,,,Newark,NORTH​ STAR,yes,old import,,,189
Noah Jackson,noah.jackson28@example.com,,Virginia,3524,12/30/2024,151,60,PENDING, towson ,   ,false,,,,145
  GRACE MILLER  ,grace.miller21@example.com,,MD,92501,2024/06/02,"8,541",67,unknown,COLUMBIA,CEDAR​ WORKS,Yes,old import,,,113
ruby ​brown,ruby.brown88@example.com,1-555-804-1967,DE,41127,"Apr 05, 2025","6,510",,pending,Rockville,N/A,no,old import,,,483
CAROL SMITH,,555.818.7897,,14150,,N/A,, n/a , Harrisburg ,Cedar Works,N,temp,,,195
liam rodriguez, LIAM.RODRIGUEZ25@SAMPLE.NET ,555.892.5947,dc,28256,2023/11/06,"4,792",,Active,washington,CEDAR WORKS,Yes,,,,456
  tina jackson  ,tina.jackson4@demo.org,555.993.9300,Delaware, 88581 ,"Nov 09, 2024",,34,INACTIVE,BALTIMORE,Bright Labs,1,temp,,,411
  Victor Anderson  ,,5556694673,PA,82423-1434,2024-02-03,N/A,,INACTIVE, Newark ,Unk​nown,No,temp,,,385
  zoe garcia  ,zoe.garcia5@demo.org,555.109.6532,District of Columbia, 84301 ,2023-03-20,"6,238",59, n/a ,rockville,Acme Co,1,old import,,,176
  Emma ​Taylor  , EMMA.TAYLOR61@MAIL.COM , 555 508 3211 ,DC,28137,04/27/2025, $769.00 , 49 ,inactive, HARRISBURG ,Acme Co,1,delete me,,,494
YARA SMITH,yara.smith51@example.com,5553903371,DE,92225,2025/02/09,N/A, 75 ,ACTIVE,Washington,N/A,yes,delete me,,,12
Liam Jackson,,5553358209,DE,41281,01/27/2023,349,19,active,Washington,North​ Star,Y,,,,140
Yara J​ohnson,,(555) 862-8694,md,17051,2025-04-22,,,Active, RICHMOND ,  BRIGHT LABS ,,delete me,,,251
peter williams,peter.williams68@sample.net,555-355-9085,VA,19581-2623,"Apr 26, 2024",N/A,73, n/a ,richmond,  CEDAR WORKS ,Yes,,,,237
,,555-282-2639,va, 32704 ,12-17-2023, $215.00 , 72 ,pending,WASHINGTON,none,,,,,103
Quinn Johnson,quinn.johnson28@demo.org, 555 783 1656 ,DC,85355,06/13/2024,,,active,Columbia,none,false,,,,328
  PETER WILSON  , PETER.WILSON75@SAMPLE.NET ,555.168.6701,VA,67658,11/24/2024, $350.00 ,,,TOWSON,CEDAR WORKS,Yes,,,,53
liam smith, LIAM.SMITH39@SAMPLE.NET ,1-555-992-1699,District of Columbia, 90136 ,01/09/2024,134, 59 ,unknown,baltimore,North Star,No,,,,214
,olivia.wilson68@mail.com,,Maryland,5917,06/05/2023,"3,011",,,ROCKVILLE,Cedar Works,yes,temp,,,208
tina davis,tina.davis8@example.com,5559666709,Maryland,31356,05-06-2025,,,inactive,BALTIMORE,Unknown,1,,,,101
  PETER ANDERSON  ,peter.anderson88@mail.com,1-555-486-3387,dc,57128,12-27-2023,N/A,,INACTIVE,NEWARK,  Bright Labs ,No,,,,264
Alice Taylor,,1-555-930-8565,md,6399,2023/06/01,"3,816", 26 ,inactive,Baltimore,BRIGHT LABS,no,,,,87
alice garcia,alice.garcia54@mail.com, 555 348 7555 ,MD,6551,06/14/2024,920,unknown,ACTIVE,towson,   ,yes,,,,35
yara garcia,yara.garcia41@sample.net, 555 631 2468 ,Pennsylvania, 11786 ,"Sep 17, 2024","3,707", 43 ,pending,HARRISBURG,none,No,delete me,,,102
  Bob Rodriguez  ,bob.rodriguez56@demo.org,555.204.9608,District of Columbia,65640,2023-08-05,81,unknown,,Baltimore,Unk​nown,yes,old import,,,407
peter martinez,peter.martinez22@example.com,(555) 477-5072,MD,4416,07-18-2024,,,Active,ANNAPOLIS,   ,Y,,,,319
Henry Moore,henry.moore59@sample.net, 555 284 1232 ,dc,38941,05/08/2025,154, 24 ,ACTIVE,BALTIMORE,BRIGH​T LABS,yes,,,,83
ZOE SMITH,zoe.smith56@sample.net,555.667.6409,Maryland,2011,05/18/2025, $470.00 ,unknown,active,richmond,Blue ​Rocket,1,,,,81
yara jackson,yara.jackson39@example.com,555.441.6738,PA,33443-5886,2025/01/11, $102.00 ,unknown,active,Towson,Bright Labs,yes,delete me,,,85
mia williams,mia.williams91@example.com,1-555-295-5651,DC, 35274 ,"Oct 27, 2024",,,, richmond ,   ,yes,temp,?,,472
  noah miller  ,noah.miller61@sample.net,555-716-6895,DC,81898-7762,2024-12-29, $319.00 ,64,PENDING,Richmond,  CEDAR WORKS ,TRUE,,,,93
  yara garcia  ,,5558361267,Virginia, 88633 ,2023-05-01,"3,507",,PENDING,Newark,Acme Co,Yes,,,,365
  Bob Jones  ,bob.jones93@demo.org,(555) 812-2516,DC,49052-4839,10/20/2024,"9,056",52, n/a ,Washington,none,N,delete me,,,356
Isla Williams,isla.williams90@sample.net, 555 430 9819 ,DC,17185,,, 63 ,inactive,Annapolis,N/A,No,,,,381
carol brown,,(555) 681-6715,District of Columbia,98183,2023-08-28,,unknown,, Newark ,none,false,,,,222
henry thomas,henry.thomas74@mail.com,1-555-877-3412,PA,28234,08/17/2023,77,,,columbia,North​ Star,yes,old import,,,364
Victor Williams,victor.williams76@sample.net,555.239.9140,VA,70286,11-01-2024,"6,093", 24 ,,RICHMOND,N/A,Y,temp,,,302
Victor Wilson,victor.wilson11@demo.org, 555 209 3421 ,pa,92202,2024/02/10,701,,,harrisburg,   ,TRUE,delete me,,,242
isla brown,isla.brown37@example.com,555.349.8629,PA,93311-7366,"Feb 17, 2023", $526.00 ,,ACTIVE,harrisburg,Unknown,No,delete me,,,426
carol brown,,(555) 681-6715,District of Columbia,98183,2023-08-28,,unknown,, Newark ,none,false,,,,222
  frank moore  ,frank.moore91@example.com, 555 817 3604 ,md,29661,2025/05/28,,,PENDING,annapolis,Unknown,Y,temp,,,244
frank miller,,(555) 574-5505,DE,34991-9704,"Jan 22, 2023",,47,active,ROCKVILLE,Bright Labs,Yes,temp,,,389
UMA RODRIGUEZ, UMA.RODRIGUEZ35@MAIL.COM ,(555) 789-8096,Pennsylvania,24297,10-26-2023,N/A,59,, harrisburg ,   ,yes,delete me,,,171
YARA ​MOORE,,5559091018,Virginia,51465,2023-09-10,988,unknown,ACTIVE,rockville,BRIGHT LABS,No,temp,,,18
QUINN SMITH,quinn.smith4@demo.org,(555) 876-4197,DE, 36203 ,,N/A,,pending,columbia,Blue Rocket,Yes,temp,,,5
isla thomas,isla.thomas95@sample.net,1-555-886-3062,de,12423,2025-02-03,N/A,unknown,active,washington,NORTH STAR,no,,,,282
uma martinez,uma.martinez8@example.com,(555) 559-6134,District of Columbia,87570,09/22/2023,"2,594",unknown,PENDING, TOWSON ,Bright Labs,No,old import,,,414
,,5556546297,Virginia,64857,2025/04/16,"5,055", 19 ,,COLUMBIA,Blue Rocket,No,old import,,,419
Mia Jackson,mia.jackson72@mail.com, 555 688 4037 ,MD,45414,,882,30,ACTIVE,RICHMOND,Unk​nown,0,delete me,,,348
Peter Jones,peter.jones18@sample.net,555.550.8135,,41287,2023/05/17,"3,368", 60 ,unknown, Annapolis ,   ,Yes,delete me,,,313
david wilson,david.wilson89@example.com,(555) 447-8491,VA,49616-4726,2024/08/14,604, 52 ,ACTIVE,WASHINGTON,N/A,Yes,temp,,,185
Sam Garcia, SAM.GARCIA24@DEMO.ORG ,5557548813,va,84095,2024/01/07,,unknown,active,baltimore,CEDAR WORKS,Yes,temp,,,122
grace smith, GRACE.SMITH6@EXAMPLE.COM ,,dc, 36928 ,"Apr 25, 2023",306, 50 ,inactive,WASHINGTON,Acme Co,Y,temp,,,458
Ruby Anderson,ruby.anderson56@example.com,1-555-157-1248,DC,83538,10/08/2024,"8,877",43, n/a ,washington,  BLUE ​ROCKET ,0,,,,177
will thomas,,5556946883,DC,90967,02-10-2025,940, 60 ,Active,Annapolis,BRIGHT LABS,Yes,delete me,,,196
henry thomas,henry.thomas30@demo.org, 555 987 5945 ,Virginia,15081,05-15-2024,N/A,,INACTIVE,TOWSON, ​  ,TRUE,delete me,,,320
Will Johnson,will.johnson95@sample.net,(555) 872-1131,Virginia,9236,01-14-2023,N/A,,pending, BALTIMORE ,Unknown,,,,,330
  ISLA WILSON  ,isla.wilson63@mail.com,5552046481,Pennsylvania,93273-1553,01/26/2023,,unknown,PENDING, baltimore ,Cedar Works,0,old import,,,298
  VICTOR JOHNSON  ,,(555) 190-4249,Maryland,51963,03-27-2023,N/A,,Active, TOWSON ,Cedar Works,N,,,,111
PETER DAVIS,peter.davis10@mail.com, 555 129 5773 ,de,82946-7417,, $554.00 ,51,inactive, ROCKVILLE ,   ,No,temp,,,432
  jack williams  ,jack.williams73@sample.net,1-555-777-3327,DE,37493,2024-02-05,485,,,Annapolis,BRIGHT LABS,yes,delete me,,,187
, EMMA.JACKSON64@DEMO.ORG ,(555) 129-6207,Pennsylvania,58427,10/11/2024, $986.00 ,,INACTIVE,Annapolis,   ,no,old import,,,128
  Will Jones  ,will.jones16@sample.net,1-555-461-7400,va,10886,2023/07/08,N/A, 55 ,ACTIVE,columbia,Unknown,N,,x,,54
  frank martinez  ,frank.martinez87@example.com,(555) 126-1418,de,16886-8570,"Nov 15, 2023",N/A,,INACTIVE,newark,Blue ​Rocket,N,old import,,,117
katie moore,katie.moore66@example.com,(555) 623-1985,Virginia, 89995 ,06/18/2023,707, 67 ,,annapolis,Unknown,no,,,,493
quinn williams,, 555 497 5741 ,de,73527,08/28/2024,,unknown,Active, towson ,  NORT​H STAR ,false,old import,,,474
Sam Smith,sam.smith45@sample.net,555-520-3491,md,68472,2024-09-05,,unknown,PENDING, Baltimore ,   ,yes,,,,358
  henry thomas  ,henry.thomas35@example.com,555.583.1918,MD,69399-6227,02-27-2025,N/A,19,,HARRISBURG,N/A,1,,,,332
  Jack ​Garcia  ,,555.471.6790,dc,38439-7507,03-24-2023,,,Active, columbia ,   ,TRUE,temp,,,413
  LIAM WILSON  ,liam.wilson24@mail.com,555-289-9645,md,49487,04/07/2025,,,ACTIVE,ANNAPOLIS,Acme Co,0,delete me,,,270
  Quinn Martinez  ,quinn.martinez53@demo.org,555.345.8935,Virginia,20491-4942,2025/04/25,"6,125", 55 , n/a ,Harrisburg,Acme Co,1,,,,336
  Yara Jackson  ,yara.jackson66@mail.com,555.760.3495,de,15458,"Nov 25, 2024",N/A,59,unknown,richmond,N/A,Y,,,,121
JACK GARCIA,jack.garcia14@mail.com,555-283-3069,md,15113-3760,2023-06-15, $207.00 ,unknown,pending,Rockville,N/A,TRUE,,,,123
ALICE BROWN,alice.brown12@sample.net,555-349-4349,Maryland,26546,"Dec 02, 2024",, 43 ,unknown,Annapolis,Unknown,false,,,,98
  yara jackson  ,yara.jackson73@sample.net,555.861.2755,District of Columbia,89254,2025/03/24,224,unknown,,TOWSON,N​/A,Yes,temp,,,232
  frank rodriguez  ,frank.rodriguez42@mail.com,5559788341,md,45525,,N/A,,inactive,Richmond,BRIGHT LABS,,temp,,,227
Alice Williams,alice.williams89@demo.org,555-501-8243,pa,37877,01-03-2025,,32,PENDING,towson,Cedar Works,false,temp,x,,8
VICTOR MILLER,victor.miller84@example.com,(555) 505-9378,DC,77703-3867,2023-06-10,517,,PENDING, harrisburg ,Unknown,,temp,,,124
yara johnson, YARA.JOHNSON81@DEMO.ORG ,1-555-843-8216,de,23918,05-13-2024, $809.00 ,,active, HARRISBURG ,Acme Co,N,,,,399
uma rodriguez,,(555) 732-8449,pa,31701,03/25/2024,"4,791",,active,Newark,Bright Labs,0,delete me,,,96
Tina Davis,tina.davis59@demo.org,1-555-174-2934,dc, 74089 ,03-19-2025,,unknown,ACTIVE,TOWSON,Unknown,Yes,,,,2
uma garcia,uma.garcia71@sample.net,555.417.4951,District of Columbia,40964-7513,2023-02-25,,unknown,, Baltimore ,Unknown,Y,delete me,,,277
Bob Rodriguez,bob.rodriguez93@sample.net, 555 730 8368 ,Delaware,5562,,N/A,,INACTIVE,WASHINGTON,Blue ​Rocket,yes,,,,342
TINA BROWN,tina.brown10@mail.com, 555 133 5368 ,DC,18260,2024/02/10,787, 33 ,inactive, Richmond ,   ,yes,temp,,,57
  liam johnson  ,,555.503.2475,Maryland,76315,,N/A,,inactive, columbia ,N/A,Y,,,,221
david johnson,david.johnson21@example.com, 555 626 9084 ,DE,,12/16/2024, $543.00 ,62,ACTIVE, Washington ,Bright Labs,no,delete me,,,495
  XAVIER WILLIAMS  ,xavier.williams92@demo.org,555.624.2795,va,49538,"May 16, 2024",, 31 ,INACTIVE,WASHINGTON,Unknown,TRUE,temp,,,253
grace brown,grace.brown27@mail.com,,District of Columbia,29777-1420,2025/03/03,, 48 ,PENDING, BALTIMORE ,Unknown,TRUE,,,,397
  mia taylor  ,,(555) 656-7200,DE,67439-2758,06-05-2023,"4,148",, n/a , Rockville ,  Bright Labs ,no,temp,,,252
carol moore,carol.moore42@sample.net, 555 845 8825 ,DE, 25036 ,2024/05/20,751, 77 ,ACTIVE,BALTIMORE,  ACME CO ,false,old import,,,408
carol anderson,carol.anderson72@mail.com,(555) 642-5488,VA,95899,2024-02-15,964, 50 ,, columbia ,Cedar Works,Y,,,,73
  HENRY W​ILLIAMS  , HENRY.WILLIAMS33@EXAMPLE.COM , 555 990 2538 ,Pennsylvania, 74696 ,2023/05/21,N/A,unknown,Active,COLUMBIA,Unknown,yes,,,,50
katie moore,katie.moore71@demo.org,,Virginia,64507,2025-03-11,N/A, 35 ,ACTIVE,harrisburg,Unknown,N,old import,,,378
isla jackson, ISLA.JACKSON44@SAMPLE.NET ,555-164-6223,va,33025-2702,2023-07-23,"6,015",73,PENDING,WASHINGTON,NORTH STAR,no,old import,,,317
katie miller,katie.miller65@demo.org,1-555-745-7277,Virginia,64568,"Aug 26, 2023", $847.00 , 34 ,, Harrisburg ,ACME CO,,delete me,,,127
olivia johnson,olivia.johnson1@sample.net,(555) 846-4362,Virginia,60142-5707,09/23/2024,"3,339",,,WASHINGTON,Unknown,0,temp,,,13
  Uma Garcia  ,uma.garcia88@sample.net, 555 684 7850 ,Delaware,81139,"Jan 18, 2025",43,70,pending, ANNAPOLIS ,Unknown,No,delete me,,,159
Quinn Williams,,1-555-194-4011,VA,56742-1946,"Jan 25, 2025",,,pending,annapolis,N​/A,1,temp,,,118
Grace Taylor,grace.taylor85@demo.org,555-705-4411,MD,9579,08-26-2023, $957.00 , 56 ,Active,annapolis,Cedar Works,false,delete me,,,396
tina rodriguez,,1-555-697-9952,Virginia,34978-1376,2023/05/20,,,, Washington ,N/A,yes,,,,374
  zoe wi​lliams  ,zoe.williams16@sample.net,555-684-7582,DC,58301,2023/07/07,"4,480",, n/a , harrisburg ,  CEDAR WORKS ,no,,,,263
alice garcia,alice.garcia27@sample.net,555.220.2211,District of Columbia,70110-4008,"Apr 04, 2024", $733.00 ,,pending,Columbia,North Star,No,delete me,,,314
carol rodriguez, CAROL.RODRIGUEZ94@SAMPLE.NET ,(555) 915-8952,dc,36932-5568,2025/03/05,N/A,,pending, COLUMBIA ,Unknown,Y,,,,339
liam thomas,liam.thomas7@example.com,555.904.5178,Delaware,9578,2023/12/16,"7,246", 66 ,Active,RICHMOND,N/A,No,,,,361
  JACK MILLER  ,,1-555-324-8697,Virginia,81069,03-18-2023,693,, n/a ,WASHINGTON,no​ne,no,old import,,,442
Noah ​Moore,,5551182107,District of Columbia,7871,2025-04-08,815,,unknown, HARRISBURG ,none,1,temp,,,183
noah rodriguez,noah.rodriguez24@example.com,555.642.9270,DE,40162,02-16-2023,443,51,INACTIVE,washington,CEDAR WORKS,Yes,,,,271
xavier ​martinez, XAVIER.MARTINEZ78@EXAMPLE.COM ,555-627-5382,Delaware,30450,08/24/2024,"4,742",,PENDING, WASHINGTON ,  BRIGHT LABS ,false,,,,170
EMMA MILLER,emma.miller92@mail.com,555-777-4007,VA,89243,03/01/2023,207, 25 ,unknown,newark,Bright Labs,Y,,,,430
Jack Anderson,jack.anderson87@example.com,5558678518,Virginia,45580-9322,02/06/2024, $608.00 ,,active,BALTIMORE,Bright Labs,TRUE,old import,x,,91
  jack taylor  ,jack.taylor76@example.com, 555 490 7993 ,md,17983-3165,2023-07-11,N/A,,ACTIVE, WASHINGTON ,  Blue Rocket ,no,temp,,,220
UMA MILLER,uma.miller76@sample.net, 555 641 9327 ,de, 76768 ,,"7,122",,pending, Towson ,none,no,,?,,215
  Liam Wilson  ,liam.wilson30@sample.net,(555) 786-6005,Virginia,34382,12/30/2024,, 44 ,pending, BALTIMORE ,   ,Y,temp,,,135
FRANK WILLIAMS, FRANK.WILLIAMS85@DEMO.ORG ,555.989.2109,MD,43756,01/21/2023,N/A,,unknown,ROCKVILLE,Unknown,Yes,temp,,,71
  HENRY W​ILLIAMS  , HENRY.WILLIAMS33@EXAMPLE.COM , 555 990 2538 ,Pennsylvania, 74696 ,2023/05/21,N/A,unknown,Active,COLUMBIA,Unknown,yes,,,,50
Emma Moore, EMMA.MOORE22@SAMPLE.NET ,5555502033,Maryland,7633,"May 10, 2023",N/A,32,ACTIVE, annapolis ,Unknown,1,temp,,,147
